iter	Passed	Remaining
0	158	158046
1	160	80206
2	162	54072
3	165	41092
4	166	33051
5	168	27938
6	171	24274
7	173	21469
8	175	19335
9	177	17560
10	178	16073
11	185	15305
12	186	14177
13	187	13215
14	188	12372
15	189	11636
16	189	10978
17	190	10395
18	191	9871
19	194	9541
20	195	9127
21	197	8763
22	198	8420
23	199	8100
24	200	7814
25	201	7555
26	203	7316
27	205	7125
28	207	6950
29	208	6756
30	211	6618
31	214	6483
32	215	6304
33	216	6152
34	218	6013
35	220	5894
36	222	5786
37	224	5685
38	225	5563
39	227	5450
40	228	5336
41	229	5237
42	231	5162
43	233	5074
44	235	5004
45	237	4931
46	240	4886
47	243	4837
48	245	4755
49	246	4677
50	247	4597
51	247	4520
52	248	4447
53	250	4380
54	250	4310
55	253	4272
56	254	4218
57	255	4154
58	257	4106
59	259	4063
60	260	4010
61	261	3961
62	264	3931
63	266	3897
64	268	3857
65	270	3827
66	273	3803
67	274	3761
68	275	3713
69	277	3680
70	277	3636
71	279	3607
72	282	3582
73	284	3555
74	286	3536
75	288	3512
76	290	3485
77	293	3470
78	296	3459
79	297	3426
80	300	3407
81	302	3384
82	303	3355
83	306	3341
84	308	3322
85	311	3311
86	313	3287
87	315	3273
88	318	3261
89	321	3247
90	323	3233
91	326	3219
92	327	3195
93	329	3175
94	331	3160
95	333	3142
96	336	3131
97	339	3120
98	341	3107
99	343	3093
100	346	3082
101	348	3070
102	351	3059
103	353	3045
104	355	3031
105	356	3008
106	359	2999
107	361	2989
108	364	2981
109	367	2970
110	369	2962
111	371	2947
112	373	2928
113	375	2918
114	378	2912
115	380	2900
116	382	2886
117	384	2877
118	387	2868
119	389	2858
120	391	2845
121	393	2833
122	396	2823
123	396	2804
124	397	2783
125	398	2766
126	399	2749
127	402	2738
128	403	2724
129	404	2710
130	405	2692
131	407	2676
132	408	2659
133	409	2647
134	411	2634
135	412	2622
136	415	2615
137	417	2607
138	419	2597
139	421	2591
140	424	2583
141	425	2573
142	428	2565
143	429	2553
144	430	2539
145	431	2526
146	433	2514
147	435	2507
148	438	2502
149	440	2498
150	443	2495
151	446	2489
152	448	2482
153	449	2470
154	452	2465
155	455	2462
156	457	2457
157	459	2450
158	461	2439
159	463	2435
160	465	2426
161	468	2422
162	470	2417
163	473	2414
164	476	2409
165	479	2408
166	481	2402
167	484	2399
168	487	2395
169	490	2393
170	492	2386
171	495	2383
172	498	2381
173	501	2378
174	503	2374
175	506	2370
176	507	2361
177	509	2353
178	511	2347
179	514	2343
180	517	2340
181	520	2337
182	521	2330
183	523	2322
184	525	2316
185	529	2316
186	531	2312
187	534	2307
188	536	2303
189	538	2295
190	539	2286
191	541	2279
192	544	2275
193	546	2271
194	549	2268
195	552	2264
196	553	2254
197	556	2252
198	558	2248
199	560	2243
200	563	2240
201	565	2235
202	567	2227
203	568	2219
204	570	2212
205	573	2209
206	575	2206
207	579	2205
208	581	2202
209	583	2195
210	584	2185
211	585	2177
212	588	2172
213	590	2169
214	593	2165
215	595	2161
216	598	2158
217	600	2152
218	602	2149
219	604	2144
220	606	2137
221	608	2133
222	611	2129
223	613	2125
224	615	2120
225	618	2117
226	620	2114
227	623	2110
228	625	2107
229	627	2101
230	628	2093
231	630	2087
232	632	2081
233	635	2078
234	637	2075
235	640	2072
236	642	2068
237	645	2065
238	647	2061
239	649	2057
240	651	2050
241	654	2049
242	656	2046
243	658	2040
244	659	2033
245	661	2027
246	663	2023
247	666	2020
248	668	2017
249	670	2011
250	672	2007
251	674	2002
252	676	1997
253	678	1992
254	679	1984
255	681	1979
256	682	1974
257	684	1967
258	686	1964
259	687	1957
260	690	1953
261	692	1950
262	694	1947
263	697	1943
264	699	1940
265	702	1937
266	703	1930
267	704	1924
268	706	1921
269	709	1918
270	711	1915
271	713	1910
272	716	1908
273	718	1904
274	719	1898
275	721	1893
276	723	1889
277	726	1885
278	728	1881
279	730	1877
280	732	1874
281	734	1869
282	739	1873
283	740	1866
284	741	1859
285	741	1852
286	742	1844
287	743	1837
288	743	1830
289	744	1823
290	745	1815
291	745	1808
292	746	1801
293	748	1797
294	750	1792
295	751	1788
296	754	1786
297	756	1781
298	757	1776
299	759	1772
300	761	1768
301	762	1763
302	765	1760
303	766	1754
304	767	1748
305	768	1742
306	769	1736
307	770	1730
308	771	1725
309	772	1720
310	775	1717
311	776	1713
312	778	1708
313	780	1705
314	781	1700
315	783	1696
316	785	1693
317	787	1689
318	790	1687
319	792	1683
320	793	1678
321	795	1674
322	796	1669
323	798	1665
324	800	1663
325	803	1661
326	805	1657
327	807	1655
328	808	1649
329	811	1646
330	813	1644
331	816	1642
332	818	1639
333	820	1636
334	822	1632
335	823	1627
336	824	1622
337	826	1619
338	829	1616
339	830	1612
340	832	1609
341	834	1606
342	836	1602
343	838	1598
344	840	1594
345	841	1591
346	844	1588
347	846	1585
348	848	1582
349	850	1579
350	852	1575
351	853	1571
352	855	1567
353	857	1565
354	860	1562
355	861	1558
356	864	1556
357	866	1554
358	868	1549
359	870	1547
360	873	1545
361	875	1542
362	877	1540
363	879	1537
364	882	1535
365	887	1537
366	888	1533
367	889	1528
368	890	1523
369	891	1517
370	892	1512
371	892	1507
372	893	1502
373	894	1497
374	895	1491
375	895	1486
376	896	1481
377	897	1476
378	899	1474
379	902	1471
380	904	1468
381	905	1464
382	906	1459
383	907	1455
384	909	1453
385	912	1451
386	913	1446
387	915	1443
388	917	1441
389	919	1437
390	920	1433
391	921	1429
392	922	1424
393	923	1420
394	925	1418
395	928	1415
396	929	1411
397	930	1407
398	931	1403
399	933	1400
400	936	1398
401	938	1396
402	940	1393
403	943	1391
404	944	1388
405	946	1385
406	948	1382
407	951	1379
408	953	1377
409	960	1381
410	961	1377
411	961	1372
412	962	1368
413	963	1364
414	964	1359
415	965	1355
416	966	1350
417	967	1346
418	967	1341
419	968	1337
420	969	1332
421	969	1328
422	970	1323
423	971	1319
424	972	1316
425	975	1313
426	976	1310
427	979	1308
428	981	1306
429	983	1303
430	984	1300
431	986	1296
432	988	1294
433	991	1292
434	993	1290
435	996	1288
436	998	1285
437	1000	1283
438	1002	1281
439	1004	1277
440	1005	1274
441	1008	1273
442	1010	1270
443	1012	1268
444	1015	1266
445	1018	1265
446	1019	1261
447	1022	1259
448	1024	1257
449	1026	1254
450	1029	1252
451	1032	1251
452	1033	1248
453	1035	1244
454	1037	1242
455	1039	1240
456	1041	1237
457	1044	1236
458	1046	1233
459	1048	1230
460	1049	1227
461	1050	1223
462	1052	1220
463	1054	1218
464	1056	1215
465	1058	1212
466	1059	1209
467	1061	1206
468	1063	1204
469	1065	1201
470	1067	1199
471	1070	1197
472	1071	1194
473	1074	1191
474	1076	1189
475	1079	1188
476	1081	1186
477	1083	1183
478	1086	1181
479	1089	1179
480	1091	1178
481	1093	1175
482	1096	1173
483	1097	1170
484	1100	1168
485	1102	1166
486	1105	1164
487	1109	1163
488	1110	1160
489	1112	1157
490	1113	1154
491	1117	1153
